,player_name,firstname,surname,firstname_lower,surname_lower,firstname_upper,surname_upper
112,Emiliano Martínez,Emiliano,Martínez,emiliano,martínez,EMILIANO,MARTÍNEZ
113,Emil Krafth,Emil,Krafth,emil,krafth,EMIL,KRAFTH
114,Enda Stevens,Enda,Stevens,enda,stevens,ENDA,STEVENS
115,Eric Dier,Eric,Dier,eric,dier,ERIC,DIER
116,Erik Lamela,Erik,Lamela,erik,lamela,ERIK,LAMELA
117,Ethan Ampadu,Ethan,Ampadu,ethan,ampadu,ETHAN,AMPADU
118,Ezgjan Alioski,Ezgjan,Alioski,ezgjan,alioski,EZGJAN,ALIOSKI
119,Fabian Delph,Fabian,Delph,fabian,delph,FABIAN,DELPH
120,Fabian Schär,Fabian,Schär,fabian,schär,FABIAN,SCHÄR
121,Fabio Henrique Tavares,Fabio,Henrique,fabio,henrique,FABIO,HENRIQUE
122,Fabio Silva,Fabio,Silva,fabio,silva,FABIO,SILVA
123,Fabián Balbuena,Fabián,Balbuena,fabián,balbuena,FABIÁN,BALBUENA
124,Fabricio Agosto Ramírez,Fabricio,Agosto,fabricio,agosto,FABRICIO,AGOSTO
125,Federico Fernández,Federico,Fernández,federico,fernández,FEDERICO,FERNÁNDEZ
126,Felipe Anderson Pereira Gomes,Felipe,Anderson,felipe,anderson,FELIPE,ANDERSON
127,Fernando Marçal,Fernando,Marçal,fernando,marçal,FERNANDO,MARÇAL
128,Fikayo Tomori,Fikayo,Tomori,fikayo,tomori,FIKAYO,TOMORI
129,Filip Benkovic,Filip,Benkovic,filip,benkovic,FILIP,BENKOVIC
130,Florian Lejeune,Florian,Lejeune,florian,lejeune,FLORIAN,LEJEUNE
131,Florin Andone,Florin,Andone,florin,andone,FLORIN,ANDONE
132,Francisco Casilla Cortés,Francisco,Casilla,francisco,casilla,FRANCISCO,CASILLA
133,Fraser Forster,Fraser,Forster,fraser,forster,FRASER,FORSTER
134,Gabriel Teodoro Martinelli Silva,Gabriel,Teodoro,gabriel,teodoro,GABRIEL,TEODORO
135,Gabriel Magalhães,Gabriel,Magalhães,gabriel,magalhães,GABRIEL,MAGALHÃES
136,Gary Cahill,Gary,Cahill,gary,cahill,GARY,CAHILL
